"","State","Industry","Code","Month","Change"
"54","Alabama","Construction","AL","Apr",-5
"55","Alaska","Construction","AK","Apr",-3
"56","Arizona","Construction","AZ","Apr",-4
"57","Arkansas","Construction","AR","Apr",-1
"58","California","Construction","CA","Apr",-132
"59","Colorado","Construction","CO","Apr",-13
"60","Connecticut","Construction","CT","Apr",-10
"61","Delaware","Construction","DE","Apr",-2
"62","District of Columbia","Construction","DC","Apr",-1
"63","Florida","Construction","FL","Apr",-23
"64","Georgia","Construction","GA","Apr",-12
"65","Hawaii","Construction","HI","Apr",-1
"66","Idaho","Construction","ID","Apr",-3
"67","Illinois","Construction","IL","Apr",-22
"68","Indiana","Construction","IN","Apr",-16
"69","Iowa","Construction","IA","Apr",-7
"70","Kansas","Construction","KS","Apr",-6
"71","Kentucky","Construction","KY","Apr",-7
"72","Louisiana","Construction","LA","Apr",-16
"73","Maine","Construction","ME","Apr",-2
"74","Maryland","Construction","MD","Apr",-14
"75","Massachusetts","Construction","MA","Apr",-60
"76","Michigan","Construction","MI","Apr",-78
"77","Minnesota","Construction","MN","Apr",-11
"78","Mississippi","Construction","MS","Apr",-1
"79","Missouri","Construction","MO","Apr",-11
"80","Montana","Construction","MT","Apr",-1
"81","Nebraska","Construction","NE","Apr",-1
"82","Nevada","Construction","NV","Apr",-7
"83","New Hampshire","Construction","NH","Apr",-3
"84","New Jersey","Construction","NJ","Apr",-44
"85","New Mexico","Construction","NM","Apr",-5
"86","New York","Construction","NY","Apr",-166
"87","North Carolina","Construction","NC","Apr",-13
"88","North Dakota","Construction","ND","Apr",-1
"89","Ohio","Construction","OH","Apr",-39
"90","Oklahoma","Construction","OK","Apr",-5
"91","Oregon","Construction","OR","Apr",-12
"92","Pennsylvania","Construction","PA","Apr",-101
"93","Puerto Rico","Construction",NA,"Apr",-7
"94","Rhode Island","Construction","RI","Apr",-3
"95","South Carolina","Construction","SC","Apr",-6
"96","South Dakota","Construction","SD","Apr",0
"97","Tennessee","Construction","TN","Apr",-4
"98","Texas","Construction","TX","Apr",-63
"99","Utah","Construction","UT","Apr",-2
"100","Vermont","Construction","VT","Apr",-7
"101","Virgin Islands","Construction",NA,"Apr",0
"102","Virginia","Construction","VA","Apr",-7
"103","Washington","Construction","WA","Apr",-81
"104","West Virginia","Construction","WV","Apr",-3
"105","Wisconsin","Construction","WI","Apr",-12
"106","Wyoming","Construction","WY","Apr",0
"107","Alabama","Construction","AL","May",3
"108","Alaska","Construction","AK","May",2
"109","Arizona","Construction","AZ","May",1
"110","Arkansas","Construction","AR","May",0
"111","California","Construction","CA","May",76
"112","Colorado","Construction","CO","May",6
"113","Connecticut","Construction","CT","May",4
"114","Delaware","Construction","DE","May",0
"115","District of Columbia","Construction","DC","May",0
"116","Florida","Construction","FL","May",7
"117","Georgia","Construction","GA","May",5
"118","Hawaii","Construction","HI","May",0
"119","Idaho","Construction","ID","May",2
"120","Illinois","Construction","IL","May",11
"121","Indiana","Construction","IN","May",10
"122","Iowa","Construction","IA","May",1
"123","Kansas","Construction","KS","May",3
"124","Kentucky","Construction","KY","May",4
"125","Louisiana","Construction","LA","May",3
"126","Maine","Construction","ME","May",1
"127","Maryland","Construction","MD","May",3
"128","Massachusetts","Construction","MA","May",19
"129","Michigan","Construction","MI","May",49
"130","Minnesota","Construction","MN","May",8
"131","Mississippi","Construction","MS","May",0
"132","Missouri","Construction","MO","May",9
"133","Montana","Construction","MT","May",0
"134","Nebraska","Construction","NE","May",1
"135","Nevada","Construction","NV","May",3
"136","New Hampshire","Construction","NH","May",1
"137","New Jersey","Construction","NJ","May",15
"138","New Mexico","Construction","NM","May",0
"139","New York","Construction","NY","May",54
"140","North Carolina","Construction","NC","May",-1
"141","North Dakota","Construction","ND","May",0
"142","Ohio","Construction","OH","May",20
"143","Oklahoma","Construction","OK","May",0
"144","Oregon","Construction","OR","May",5
"145","Pennsylvania","Construction","PA","May",72
"146","Puerto Rico","Construction",NA,"May",0
"147","Rhode Island","Construction","RI","May",1
"148","South Carolina","Construction","SC","May",4
"149","South Dakota","Construction","SD","May",1
"150","Tennessee","Construction","TN","May",2
"151","Texas","Construction","TX","May",13
"152","Utah","Construction","UT","May",5
"153","Vermont","Construction","VT","May",2
"154","Virgin Islands","Construction",NA,"May",0
"155","Virginia","Construction","VA","May",5
"156","Washington","Construction","WA","May",47
"157","West Virginia","Construction","WV","May",2
"158","Wisconsin","Construction","WI","May",4
"159","Wyoming","Construction","WY","May",0
"160","Alabama","Construction","AL","Jun",2
"161","Alaska","Construction","AK","Jun",0
"162","Arizona","Construction","AZ","Jun",-2
"163","Arkansas","Construction","AR","Jun",0
"164","California","Construction","CA","Jun",27
"165","Colorado","Construction","CO","Jun",0
"166","Connecticut","Construction","CT","Jun",2
"167","Delaware","Construction","DE","Jun",0
"168","District of Columbia","Construction","DC","Jun",1
"169","Florida","Construction","FL","Jun",2
"170","Georgia","Construction","GA","Jun",2
"171","Hawaii","Construction","HI","Jun",1
"172","Idaho","Construction","ID","Jun",0
"173","Illinois","Construction","IL","Jun",1
"174","Indiana","Construction","IN","Jun",3
"175","Iowa","Construction","IA","Jun",-2
"176","Kansas","Construction","KS","Jun",-1
"177","Kentucky","Construction","KY","Jun",4
"178","Louisiana","Construction","LA","Jun",-4
"179","Maine","Construction","ME","Jun",0
"180","Maryland","Construction","MD","Jun",6
"181","Massachusetts","Construction","MA","Jun",20
"182","Michigan","Construction","MI","Jun",19
"183","Minnesota","Construction","MN","Jun",-2
"184","Mississippi","Construction","MS","Jun",-1
"185","Missouri","Construction","MO","Jun",0
"186","Montana","Construction","MT","Jun",0
"187","Nebraska","Construction","NE","Jun",0
"188","Nevada","Construction","NV","Jun",-4
"189","New Hampshire","Construction","NH","Jun",0
"190","New Jersey","Construction","NJ","Jun",7
"191","New Mexico","Construction","NM","Jun",1
"192","New York","Construction","NY","Jun",42
"193","North Carolina","Construction","NC","Jun",2
"194","North Dakota","Construction","ND","Jun",-1
"195","Ohio","Construction","OH","Jun",0
"196","Oklahoma","Construction","OK","Jun",-1
"197","Oregon","Construction","OR","Jun",0
"198","Pennsylvania","Construction","PA","Jun",12
"199","Puerto Rico","Construction",NA,"Jun",2
"200","Rhode Island","Construction","RI","Jun",0
"201","South Carolina","Construction","SC","Jun",1
"202","South Dakota","Construction","SD","Jun",1
"203","Tennessee","Construction","TN","Jun",-1
"204","Texas","Construction","TX","Jun",3
"205","Utah","Construction","UT","Jun",3
"206","Vermont","Construction","VT","Jun",1
"207","Virgin Islands","Construction",NA,"Jun",0
"208","Virginia","Construction","VA","Jun",5
"209","Washington","Construction","WA","Jun",15
"210","West Virginia","Construction","WV","Jun",0
"211","Wisconsin","Construction","WI","Jun",-1
"212","Wyoming","Construction","WY","Jun",1
"213","Alabama","Construction","AL","Jul",0
"214","Alaska","Construction","AK","Jul",-1
"215","Arizona","Construction","AZ","Jul",1
"216","Arkansas","Construction","AR","Jul",-1
"217","California","Construction","CA","Jul",-16
"218","Colorado","Construction","CO","Jul",0
"219","Connecticut","Construction","CT","Jul",1
"220","Delaware","Construction","DE","Jul",0
"221","District of Columbia","Construction","DC","Jul",0
"222","Florida","Construction","FL","Jul",-5
"223","Georgia","Construction","GA","Jul",0
"224","Hawaii","Construction","HI","Jul",0
"225","Idaho","Construction","ID","Jul",0
"226","Illinois","Construction","IL","Jul",-3
"227","Indiana","Construction","IN","Jul",0
"228","Iowa","Construction","IA","Jul",0
"229","Kansas","Construction","KS","Jul",-1
"230","Kentucky","Construction","KY","Jul",-2
"231","Louisiana","Construction","LA","Jul",1
"232","Maine","Construction","ME","Jul",1
"233","Maryland","Construction","MD","Jul",2
"234","Massachusetts","Construction","MA","Jul",1
"235","Michigan","Construction","MI","Jul",3
"236","Minnesota","Construction","MN","Jul",-1
"237","Mississippi","Construction","MS","Jul",0
"238","Missouri","Construction","MO","Jul",5
"239","Montana","Construction","MT","Jul",0
"240","Nebraska","Construction","NE","Jul",-1
"241","Nevada","Construction","NV","Jul",-1
"242","New Hampshire","Construction","NH","Jul",0
"243","New Jersey","Construction","NJ","Jul",2
"244","New Mexico","Construction","NM","Jul",-4
"245","New York","Construction","NY","Jul",17
"246","North Carolina","Construction","NC","Jul",2
"247","North Dakota","Construction","ND","Jul",-1
"248","Ohio","Construction","OH","Jul",3
"249","Oklahoma","Construction","OK","Jul",0
"250","Oregon","Construction","OR","Jul",-1
"251","Pennsylvania","Construction","PA","Jul",-1
"252","Puerto Rico","Construction",NA,"Jul",-1
"253","Rhode Island","Construction","RI","Jul",0
"254","South Carolina","Construction","SC","Jul",-1
"255","South Dakota","Construction","SD","Jul",-1
"256","Tennessee","Construction","TN","Jul",2
"257","Texas","Construction","TX","Jul",-8
"258","Utah","Construction","UT","Jul",-1
"259","Vermont","Construction","VT","Jul",-1
"260","Virgin Islands","Construction",NA,"Jul",0
"261","Virginia","Construction","VA","Jul",2
"262","Washington","Construction","WA","Jul",1
"263","West Virginia","Construction","WV","Jul",1
"264","Wisconsin","Construction","WI","Jul",4
"265","Wyoming","Construction","WY","Jul",0
"266","Alabama","Manufacturing","AL","Mar",2
"267","Alaska","Manufacturing","AK","Mar",0
"268","Arizona","Manufacturing","AZ","Mar",-1
"269","Arkansas","Manufacturing","AR","Mar",-1
"270","California","Manufacturing","CA","Mar",-12
"271","Colorado","Manufacturing","CO","Mar",-1
"272","Connecticut","Manufacturing","CT","Mar",1
"273","Delaware","Manufacturing","DE","Mar",0
"274","District of Columbia","Manufacturing","DC","Mar",0
"275","Florida","Manufacturing","FL","Mar",0
"276","Georgia","Manufacturing","GA","Mar",-2
"277","Hawaii","Manufacturing","HI","Mar",0
"278","Idaho","Manufacturing","ID","Mar",0
"279","Illinois","Manufacturing","IL","Mar",-2
"280","Indiana","Manufacturing","IN","Mar",-7
"281","Iowa","Manufacturing","IA","Mar",-1
"282","Kansas","Manufacturing","KS","Mar",0
"283","Kentucky","Manufacturing","KY","Mar",-1
"284","Louisiana","Manufacturing","LA","Mar",1
"285","Maine","Manufacturing","ME","Mar",1
"286","Maryland","Manufacturing","MD","Mar",-1
"287","Massachusetts","Manufacturing","MA","Mar",-2
"288","Michigan","Manufacturing","MI","Mar",-5
"289","Minnesota","Manufacturing","MN","Mar",-1
"290","Mississippi","Manufacturing","MS","Mar",0
"291","Missouri","Manufacturing","MO","Mar",-2
"292","Montana","Manufacturing","MT","Mar",0
"293","Nebraska","Manufacturing","NE","Mar",-1
"294","Nevada","Manufacturing","NV","Mar",0
"295","New Hampshire","Manufacturing","NH","Mar",0
"296","New Jersey","Manufacturing","NJ","Mar",0
"297","New Mexico","Manufacturing","NM","Mar",0
"298","New York","Manufacturing","NY","Mar",-1
"299","North Carolina","Manufacturing","NC","Mar",-5
"300","North Dakota","Manufacturing","ND","Mar",0
"301","Ohio","Manufacturing","OH","Mar",-2
"302","Oklahoma","Manufacturing","OK","Mar",-2
"303","Oregon","Manufacturing","OR","Mar",0
"304","Pennsylvania","Manufacturing","PA","Mar",-4
"305","Puerto Rico","Manufacturing",NA,"Mar",0
"306","Rhode Island","Manufacturing","RI","Mar",0
"307","South Carolina","Manufacturing","SC","Mar",0
"308","South Dakota","Manufacturing","SD","Mar",0
"309","Tennessee","Manufacturing","TN","Mar",-3
"310","Texas","Manufacturing","TX","Mar",-6
"311","Utah","Manufacturing","UT","Mar",0
"312","Vermont","Manufacturing","VT","Mar",-1
"313","Virgin Islands","Manufacturing",NA,"Mar",NA
"314","Virginia","Manufacturing","VA","Mar",-2
"315","Washington","Manufacturing","WA","Mar",-2
"316","West Virginia","Manufacturing","WV","Mar",0
"317","Wisconsin","Manufacturing","WI","Mar",0
"318","Wyoming","Manufacturing","WY","Mar",0
"319","Alabama","Manufacturing","AL","Apr",-25
"320","Alaska","Manufacturing","AK","Apr",-1
"321","Arizona","Manufacturing","AZ","Apr",-2
"322","Arkansas","Manufacturing","AR","Apr",-8
"323","California","Manufacturing","CA","Apr",-119
"324","Colorado","Manufacturing","CO","Apr",-10
"325","Connecticut","Manufacturing","CT","Apr",-13
"326","Delaware","Manufacturing","DE","Apr",-3
"327","District of Columbia","Manufacturing","DC","Apr",0
"328","Florida","Manufacturing","FL","Apr",-31
"329","Georgia","Manufacturing","GA","Apr",-40
"330","Hawaii","Manufacturing","HI","Apr",-3
"331","Idaho","Manufacturing","ID","Apr",-1
"332","Illinois","Manufacturing","IL","Apr",-51
"333","Indiana","Manufacturing","IN","Apr",-78
"334","Iowa","Manufacturing","IA","Apr",-11
"335","Kansas","Manufacturing","KS","Apr",-10
"336","Kentucky","Manufacturing","KY","Apr",-54
"337","Louisiana","Manufacturing","LA","Apr",-11
"338","Maine","Manufacturing","ME","Apr",-9
"339","Maryland","Manufacturing","MD","Apr",-14
"340","Massachusetts","Manufacturing","MA","Apr",-21
"341","Michigan","Manufacturing","MI","Apr",-174
"342","Minnesota","Manufacturing","MN","Apr",-24
"343","Mississippi","Manufacturing","MS","Apr",-12
"344","Missouri","Manufacturing","MO","Apr",-35
"345","Montana","Manufacturing","MT","Apr",-2
"346","Nebraska","Manufacturing","NE","Apr",-3
"347","Nevada","Manufacturing","NV","Apr",-4
"348","New Hampshire","Manufacturing","NH","Apr",-6
"349","New Jersey","Manufacturing","NJ","Apr",-34
"350","New Mexico","Manufacturing","NM","Apr",-5
"351","New York","Manufacturing","NY","Apr",-81
"352","North Carolina","Manufacturing","NC","Apr",-51
"353","North Dakota","Manufacturing","ND","Apr",-1
"354","Ohio","Manufacturing","OH","Apr",-96
"355","Oklahoma","Manufacturing","OK","Apr",-6
"356","Oregon","Manufacturing","OR","Apr",-12
"357","Pennsylvania","Manufacturing","PA","Apr",-74
"358","Puerto Rico","Manufacturing",NA,"Apr",-4
"359","Rhode Island","Manufacturing","RI","Apr",-2
"360","South Carolina","Manufacturing","SC","Apr",-12
"361","South Dakota","Manufacturing","SD","Apr",-1
"362","Tennessee","Manufacturing","TN","Apr",-49
"363","Texas","Manufacturing","TX","Apr",-44
"364","Utah","Manufacturing","UT","Apr",-2
"365","Vermont","Manufacturing","VT","Apr",-4
"366","Virgin Islands","Manufacturing",NA,"Apr",NA
"367","Virginia","Manufacturing","VA","Apr",-6
"368","Washington","Manufacturing","WA","Apr",-28
"369","West Virginia","Manufacturing","WV","Apr",-2
"370","Wisconsin","Manufacturing","WI","Apr",-41
"371","Wyoming","Manufacturing","WY","Apr",0
"372","Alabama","Manufacturing","AL","May",6
"373","Alaska","Manufacturing","AK","May",0
"374","Arizona","Manufacturing","AZ","May",-5
"375","Arkansas","Manufacturing","AR","May",-7
"376","California","Manufacturing","CA","May",9
"377","Colorado","Manufacturing","CO","May",6
"378","Connecticut","Manufacturing","CT","May",3
"379","Delaware","Manufacturing","DE","May",0
"380","District of Columbia","Manufacturing","DC","May",0
"381","Florida","Manufacturing","FL","May",6
"382","Georgia","Manufacturing","GA","May",12
"383","Hawaii","Manufacturing","HI","May",1
"384","Idaho","Manufacturing","ID","May",1
"385","Illinois","Manufacturing","IL","May",15
"386","Indiana","Manufacturing","IN","May",20
"387","Iowa","Manufacturing","IA","May",3
"388","Kansas","Manufacturing","KS","May",0
"389","Kentucky","Manufacturing","KY","May",10
"390","Louisiana","Manufacturing","LA","May",3
"391","Maine","Manufacturing","ME","May",3
"392","Maryland","Manufacturing","MD","May",4
"393","Massachusetts","Manufacturing","MA","May",3
"394","Michigan","Manufacturing","MI","May",31
"395","Minnesota","Manufacturing","MN","May",2
"396","Mississippi","Manufacturing","MS","May",4
"397","Missouri","Manufacturing","MO","May",11
"398","Montana","Manufacturing","MT","May",1
"399","Nebraska","Manufacturing","NE","May",2
"400","Nevada","Manufacturing","NV","May",2
"401","New Hampshire","Manufacturing","NH","May",2
"402","New Jersey","Manufacturing","NJ","May",17
"403","New Mexico","Manufacturing","NM","May",0
"404","New York","Manufacturing","NY","May",15
"405","North Carolina","Manufacturing","NC","May",8
"406","North Dakota","Manufacturing","ND","May",0
"407","Ohio","Manufacturing","OH","May",27
"408","Oklahoma","Manufacturing","OK","May",-1
"409","Oregon","Manufacturing","OR","May",-4
"410","Pennsylvania","Manufacturing","PA","May",27
"411","Puerto Rico","Manufacturing",NA,"May",2
"412","Rhode Island","Manufacturing","RI","May",1
"413","South Carolina","Manufacturing","SC","May",-1
"414","South Dakota","Manufacturing","SD","May",0
"415","Tennessee","Manufacturing","TN","May",8
"416","Texas","Manufacturing","TX","May",12
"417","Utah","Manufacturing","UT","May",0
"418","Vermont","Manufacturing","VT","May",2
"419","Virgin Islands","Manufacturing",NA,"May",NA
"420","Virginia","Manufacturing","VA","May",-5
"421","Washington","Manufacturing","WA","May",7
"422","West Virginia","Manufacturing","WV","May",1
"423","Wisconsin","Manufacturing","WI","May",10
"424","Wyoming","Manufacturing","WY","May",0
"425","Alabama","Manufacturing","AL","Jun",4
"426","Alaska","Manufacturing","AK","Jun",-1
"427","Arizona","Manufacturing","AZ","Jun",1
"428","Arkansas","Manufacturing","AR","Jun",0
"429","California","Manufacturing","CA","Jun",24
"430","Colorado","Manufacturing","CO","Jun",2
"431","Connecticut","Manufacturing","CT","Jun",1
"432","Delaware","Manufacturing","DE","Jun",0
"433","District of Columbia","Manufacturing","DC","Jun",0
"434","Florida","Manufacturing","FL","Jun",6
"435","Georgia","Manufacturing","GA","Jun",13
"436","Hawaii","Manufacturing","HI","Jun",0
"437","Idaho","Manufacturing","ID","Jun",0
"438","Illinois","Manufacturing","IL","Jun",18
"439","Indiana","Manufacturing","IN","Jun",19
"440","Iowa","Manufacturing","IA","Jun",3
"441","Kansas","Manufacturing","KS","Jun",0
"442","Kentucky","Manufacturing","KY","Jun",27
"443","Louisiana","Manufacturing","LA","Jun",0
"444","Maine","Manufacturing","ME","Jun",0
"445","Maryland","Manufacturing","MD","Jun",3
"446","Massachusetts","Manufacturing","MA","Jun",5
"447","Michigan","Manufacturing","MI","Jun",79
"448","Minnesota","Manufacturing","MN","Jun",1
"449","Mississippi","Manufacturing","MS","Jun",0
"450","Missouri","Manufacturing","MO","Jun",10
"451","Montana","Manufacturing","MT","Jun",0
"452","Nebraska","Manufacturing","NE","Jun",-1
"453","Nevada","Manufacturing","NV","Jun",-1
"454","New Hampshire","Manufacturing","NH","Jun",-2
"455","New Jersey","Manufacturing","NJ","Jun",3
"456","New Mexico","Manufacturing","NM","Jun",2
"457","New York","Manufacturing","NY","Jun",15
"458","North Carolina","Manufacturing","NC","Jun",9
"459","North Dakota","Manufacturing","ND","Jun",0
"460","Ohio","Manufacturing","OH","Jun",29
"461","Oklahoma","Manufacturing","OK","Jun",0
"462","Oregon","Manufacturing","OR","Jun",2
"463","Pennsylvania","Manufacturing","PA","Jun",15
"464","Puerto Rico","Manufacturing",NA,"Jun",2
"465","Rhode Island","Manufacturing","RI","Jun",0
"466","South Carolina","Manufacturing","SC","Jun",2
"467","South Dakota","Manufacturing","SD","Jun",0
"468","Tennessee","Manufacturing","TN","Jun",6
"469","Texas","Manufacturing","TX","Jun",-1
"470","Utah","Manufacturing","UT","Jun",2
"471","Vermont","Manufacturing","VT","Jun",0
"472","Virgin Islands","Manufacturing",NA,"Jun",NA
"473","Virginia","Manufacturing","VA","Jun",2
"474","Washington","Manufacturing","WA","Jun",0
"475","West Virginia","Manufacturing","WV","Jun",1
"476","Wisconsin","Manufacturing","WI","Jun",0
"477","Wyoming","Manufacturing","WY","Jun",0
"478","Alabama","Manufacturing","AL","Jul",4
"479","Alaska","Manufacturing","AK","Jul",0
"480","Arizona","Manufacturing","AZ","Jul",0
"481","Arkansas","Manufacturing","AR","Jul",-1
"482","California","Manufacturing","CA","Jul",2
"483","Colorado","Manufacturing","CO","Jul",2
"484","Connecticut","Manufacturing","CT","Jul",2
"485","Delaware","Manufacturing","DE","Jul",1
"486","District of Columbia","Manufacturing","DC","Jul",0
"487","Florida","Manufacturing","FL","Jul",1
"488","Georgia","Manufacturing","GA","Jul",2
"489","Hawaii","Manufacturing","HI","Jul",-1
"490","Idaho","Manufacturing","ID","Jul",0
"491","Illinois","Manufacturing","IL","Jul",-3
"492","Indiana","Manufacturing","IN","Jul",7
"493","Iowa","Manufacturing","IA","Jul",0
"494","Kansas","Manufacturing","KS","Jul",-3
"495","Kentucky","Manufacturing","KY","Jul",5
"496","Louisiana","Manufacturing","LA","Jul",1
"497","Maine","Manufacturing","ME","Jul",-3
"498","Maryland","Manufacturing","MD","Jul",0
"499","Massachusetts","Manufacturing","MA","Jul",1
"500","Michigan","Manufacturing","MI","Jul",5
"501","Minnesota","Manufacturing","MN","Jul",2
"502","Mississippi","Manufacturing","MS","Jul",3
"503","Missouri","Manufacturing","MO","Jul",9
"504","Montana","Manufacturing","MT","Jul",0
"505","Nebraska","Manufacturing","NE","Jul",0
"506","Nevada","Manufacturing","NV","Jul",2
"507","New Hampshire","Manufacturing","NH","Jul",0
"508","New Jersey","Manufacturing","NJ","Jul",0
"509","New Mexico","Manufacturing","NM","Jul",0
"510","New York","Manufacturing","NY","Jul",5
"511","North Carolina","Manufacturing","NC","Jul",-2
"512","North Dakota","Manufacturing","ND","Jul",0
"513","Ohio","Manufacturing","OH","Jul",-3
"514","Oklahoma","Manufacturing","OK","Jul",-2
"515","Oregon","Manufacturing","OR","Jul",-1
"516","Pennsylvania","Manufacturing","PA","Jul",-4
"517","Puerto Rico","Manufacturing",NA,"Jul",-1
"518","Rhode Island","Manufacturing","RI","Jul",1
"519","South Carolina","Manufacturing","SC","Jul",6
"520","South Dakota","Manufacturing","SD","Jul",-1
"521","Tennessee","Manufacturing","TN","Jul",6
"522","Texas","Manufacturing","TX","Jul",-4
"523","Utah","Manufacturing","UT","Jul",-1
"524","Vermont","Manufacturing","VT","Jul",0
"525","Virgin Islands","Manufacturing",NA,"Jul",NA
"526","Virginia","Manufacturing","VA","Jul",-3
"527","Washington","Manufacturing","WA","Jul",1
"528","West Virginia","Manufacturing","WV","Jul",0
"529","Wisconsin","Manufacturing","WI","Jul",4
"530","Wyoming","Manufacturing","WY","Jul",0
"531","Alabama","Trade, transportation, and utilities","AL","Mar",-2
"532","Alaska","Trade, transportation, and utilities","AK","Mar",0
"533","Arizona","Trade, transportation, and utilities","AZ","Mar",3
"534","Arkansas","Trade, transportation, and utilities","AR","Mar",0
"535","California","Trade, transportation, and utilities","CA","Mar",-9
"536","Colorado","Trade, transportation, and utilities","CO","Mar",-3
"537","Connecticut","Trade, transportation, and utilities","CT","Mar",-2
"538","Delaware","Trade, transportation, and utilities","DE","Mar",0
"539","District of Columbia","Trade, transportation, and utilities","DC","Mar",0
"540","Florida","Trade, transportation, and utilities","FL","Mar",-5
"541","Georgia","Trade, transportation, and utilities","GA","Mar",-1
"542","Hawaii","Trade, transportation, and utilities","HI","Mar",-1
"543","Idaho","Trade, transportation, and utilities","ID","Mar",1
"544","Illinois","Trade, transportation, and utilities","IL","Mar",-8
"545","Indiana","Trade, transportation, and utilities","IN","Mar",-3
"546","Iowa","Trade, transportation, and utilities","IA","Mar",0
"547","Kansas","Trade, transportation, and utilities","KS","Mar",-1
"548","Kentucky","Trade, transportation, and utilities","KY","Mar",-3
"549","Louisiana","Trade, transportation, and utilities","LA","Mar",-2
"550","Maine","Trade, transportation, and utilities","ME","Mar",0
"551","Maryland","Trade, transportation, and utilities","MD","Mar",0
"552","Massachusetts","Trade, transportation, and utilities","MA","Mar",-4
"553","Michigan","Trade, transportation, and utilities","MI","Mar",0
"554","Minnesota","Trade, transportation, and utilities","MN","Mar",-1
"555","Mississippi","Trade, transportation, and utilities","MS","Mar",-1
"556","Missouri","Trade, transportation, and utilities","MO","Mar",-3
"557","Montana","Trade, transportation, and utilities","MT","Mar",0
"558","Nebraska","Trade, transportation, and utilities","NE","Mar",-3
"559","Nevada","Trade, transportation, and utilities","NV","Mar",-4
"560","New Hampshire","Trade, transportation, and utilities","NH","Mar",1
"561","New Jersey","Trade, transportation, and utilities","NJ","Mar",-5
"562","New Mexico","Trade, transportation, and utilities","NM","Mar",1
"563","New York","Trade, transportation, and utilities","NY","Mar",-10
"564","North Carolina","Trade, transportation, and utilities","NC","Mar",-8
"565","North Dakota","Trade, transportation, and utilities","ND","Mar",0
"566","Ohio","Trade, transportation, and utilities","OH","Mar",-8
"567","Oklahoma","Trade, transportation, and utilities","OK","Mar",0
"568","Oregon","Trade, transportation, and utilities","OR","Mar",-2
"569","Pennsylvania","Trade, transportation, and utilities","PA","Mar",0
"570","Puerto Rico","Trade, transportation, and utilities",NA,"Mar",-1
"571","Rhode Island","Trade, transportation, and utilities","RI","Mar",0
"572","South Carolina","Trade, transportation, and utilities","SC","Mar",-1
"573","South Dakota","Trade, transportation, and utilities","SD","Mar",0
"574","Tennessee","Trade, transportation, and utilities","TN","Mar",-2
"575","Texas","Trade, transportation, and utilities","TX","Mar",-7
"576","Utah","Trade, transportation, and utilities","UT","Mar",1
"577","Vermont","Trade, transportation, and utilities","VT","Mar",-1
"578","Virgin Islands","Trade, transportation, and utilities",NA,"Mar",0
"579","Virginia","Trade, transportation, and utilities","VA","Mar",-1
"580","Washington","Trade, transportation, and utilities","WA","Mar",-2
"581","West Virginia","Trade, transportation, and utilities","WV","Mar",-1
"582","Wisconsin","Trade, transportation, and utilities","WI","Mar",-2
"583","Wyoming","Trade, transportation, and utilities","WY","Mar",0
"584","Alabama","Trade, transportation, and utilities","AL","Apr",-15
"585","Alaska","Trade, transportation, and utilities","AK","Apr",-6
